"etf_id","ticker","etf_name","base_index","aum","priority_tier","candidate_reason","collection_status","issuer_source_status","krx_source_status","note"
"KR7494210008","494210","SOL 미국500타겟데일리커버드콜액티브","KEDI 미국퀄리티500+월1%프리미엄 지수(NTR)","7915117971","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7321410003","321410","KODEX 멀티에셋하이인컴(H)","Morningstar Multi-Asset High Income 10% Capped Index","5349069661","P1","기초지수 인컴 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70073X0007","0073X0","FOCUS 알리바바미국채커버드콜혼합","KEDI 알리바바미국채커버드콜혼합지수(TR)","5209828144","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70128D0006","0128D0","PLUS 차이나항셍테크위클리타겟커버드콜","HSTECH 15% Target Premium Weekly Covered Call Index","5182572739","P1","커버드콜 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7373790005","373790","KIWOOM 미국방어배당성장나스닥","Nasdaq US Low Volatility Dividend Achievers Index","4532824558","P1","배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7441800000","441800","TIME Korea플러스배당액티브","코스피 200","785338314232","P2","배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7490490000","490490","SOL 미국배당미국채혼합50","KRX 다우존스 미국배당국채 혼합지수","482573151349","P2","배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7237370002","237370","KODEX 코리아배당성장채권혼합","배당성장채권혼합지수","163785903883","P2","배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7476850003","476850","KoAct 배당성장액티브","코스피","99879081177","P2","배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7211900006","211900","KODEX 코리아배당성장","코스피 배당성장 50","93782167434","P2","배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7325020006","325020","KODEX 배당가치","FnGuide SLV 배당가치 지수","91681673650","P2","배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7211560008","211560","TIGER 배당성장","코스피 배당성장 50","74699270059","P2","배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70152E0004","0152E0","SOL 배당성향탑픽액티브","FnGuide 배당성향탑픽 지수(PR)","26626961171","P2","배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7445910003","445910","TIGER MKF배당귀족","MKF 배당귀족 지수(시장가격지수)","19801268923","P2","배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70153P0000","0153P0","ACE 리츠부동산인프라액티브","FnGuide 맥쿼리인프라 배당 리츠 지수 (시장가격)","15238824402","P2","배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70127T0009","0127T0","KIWOOM 미국S&P500&배당다우존스비중전환","S&P500 생애배당다우존스 2040 지수","13739233146","P2","배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR70127V0005","0127V0","KIWOOM 미국S&P500 TOP10&배당다우비중전환","S&P500 TOP10 생애배당다우존스 2040 지수","13738169773","P2","배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
"KR7354240004","354240","RISE 미국고정배당우선증권","ICE BofAML Core Plus Fixed Rate Preferred Securities Index(PR)","11969118873","P2","배당 키워드","not_started","not_started","not_started","배당형 우선 수집 후보. 실제 분배 및 TR 지원 여부는 공식 원천 검증 후 결정."
